timestamp,season,holiday,weather,temperature,working_hours,E_PV,E_wind,E_storage_discharge,E_grid,ESCFR,ESCFG,v_wind,wind_direction
2024/1/1 01:03,winter,yes,sunny,-6.5,0,0,0,0,0,0,0,7.137950212,178.9078196
2024/1/1 04:17,winter,yes,sunny,-4.2,0,0,0,0,0,0,0,7.200096326,177.8116305
2024/1/1 09:34,winter,yes,snowy,-5.8,0,0,0,0,0,0,0,7.166766375,177.8535935
2024/1/1 16:48,winter,yes,cloudy,-2.7,0,0,0,0,0,0,0,7.064618332,181.1837777
2024/1/1 23:57,winter,yes,snowy,-4.9,0,0,0,0,0,0,0,7.139341546,178.2608007
2024/1/2 01:03,winter,no,cloudy,-7.5,36.59,0,37494.6,29855.04,54434.97,0,19855.04,7.083684711,181.7346646
2024/1/2 04:17,winter,no,sunny,-7.6,15.56,515.15,8554.68,9549.02,3151.15,4605.82,0,7.200096326,177.8116305
2024/1/2 09:34,winter,no,cloudy,-3.3,48,0,17929.05,25225.95,0,15701.99,0,7.053652628,186.2491642
2024/1/2 16:48,winter,no,snowy,-4.4,30,0,0,29950,56306,0,19950,7.100980819,180.3568245
2024/1/2 23:57,winter,no,sunny,-2,15.56,515.15,8554.68,9549.02,3151.15,4605.82,0,7.200096326,177.8116305
2024/1/3 01:03,winter,no,snowy,-2.1,28,0,0,11180,0,0,1180,7.137950212,178.9078196
2024/1/3 04:17,winter,no,cloudy,-2.9,14,0,13563.68,10194.96,16417.37,392.12,0,7.147355765,180.9575511
2024/1/3 09:34,winter,no,cloudy,-3.8,15.56,0,12048.97,10565.04,10040.98,3632.43,0,7.200096326,177.8116305
2024/1/3 16:48,winter,no,cloudy,-0.5,60,0,18303.54,23661.46,0,21045.9,0,7.077260482,182.9466793
2024/1/3 23:57,winter,no,sunny,-0.8,48,1031.15,15776.45,21552.4,0,16087.02,0,7.053652628,186.2491642
2024/1/4 01:03,winter,no,cloudy,-8,26.67,0,20092.52,18339.32,17533.16,6262.51,2121.81,7.166766375,177.8535935
2024/1/4 04:17,winter,no,sunny,-3.8,24,516.03,24334.93,19988.5,36590.55,0,9988.5,7.152290173,177.2606736
2024/1/4 09:34,winter,no,sunny,-4.2,15.56,516.03,8554.39,9548.95,3150.63,4605.89,0,7.200096326,177.8116305
2024/1/4 16:48,winter,no,sunny,-4.8,33.33,944.34,9605.57,12760.09,0,11486.02,0,7.064618332,181.1837777
2024/1/4 23:57,winter,no,snowy,-5,14,0,0,13950,40734,0,3950,7.147355765,180.9575511
2024/1/5 01:03,winter,no,sunny,-7.6,48,1033.02,8238.7,9908.28,0,9815.97,0,7.053652628,186.2491642
2024/1/5 04:17,winter,no,cloudy,-5.5,48,0,10635.17,13339.83,0,13092.95,0,7.053652628,186.2491642
2024/1/5 09:34,winter,no,cloudy,-6.4,48,0,10635.17,13339.83,0,13092.95,0,7.053652628,186.2491642
2024/1/5 16:48,winter,no,cloudy,-4.6,14,0,13563.68,10194.96,16417.37,392.12,0,7.147355765,180.9575511
2024/1/5 23:57,winter,no,cloudy,-1.8,28,0,9361.35,12998.65,0,9242.8,0,7.137950212,178.9078196
2024/1/6 01:03,winter,no,snowy,-6.7,30,0,0,29950,71880,0,19950,7.100980819,180.3568245
2024/1/6 04:17,winter,no,sunny,-5.7,28,567.36,7003.01,9199.63,0,8462.64,0,7.137950212,178.9078196
2024/1/6 09:34,winter,no,snowy,-3.9,26.67,0,0,18655,0,0,8655,7.166766375,177.8535935
2024/1/6 16:48,winter,no,sunny,0.9,26.67,523.97,24981.53,19318.45,29796.05,1408.5,7920.84,7.166766375,177.8535935
2024/1/6 23:57,winter,no,cloudy,-1.1,30,0,30354.8,29337.88,57711.32,0,19337.88,7.100980819,180.3568245
2024/1/7 01:03,winter,no,sunny,-6.7,14,517.56,13961.8,11703.51,21247.13,0,1703.51,7.147355765,180.9575511
2024/1/7 04:17,winter,no,sunny,-6.4,33.33,946.74,25152.25,22660.8,21170.2,8424.67,4332.24,7.064618332,181.1837777
2024/1/7 09:34,winter,no,sunny,-2.2,15.56,517.56,15726.4,13453.51,24727.53,0,3453.51,7.200096326,177.8116305
2024/1/7 16:48,winter,no,cloudy,-4.1,48,0,17929.05,25225.95,0,15701.99,0,7.053652628,186.2491642
2024/1/7 23:57,winter,no,sunny,-4.7,28,568.11,9145.86,12646.03,0,9302.9,0,7.137950212,178.9078196
2024/1/8 01:03,winter,no,cloudy,-7.5,29.27,0,22069.44,19800.09,17917.48,7636.73,2235.27,7.139341546,178.2608007
2024/1/8 04:17,winter,no,cloudy,-2.8,33.33,0,18262.35,21012.5,7345.15,9955.06,1157.44,7.064618332,181.1837777
2024/1/8 09:34,winter,no,sunny,-4.1,17.07,518.13,17397.86,16839.88,33034.93,0,6839.88,7.153882719,178.7768927
2024/1/8 16:48,winter,no,cloudy,-1,60,0,18303.54,23661.46,0,21045.9,0,7.077260482,182.9466793
2024/1/8 23:57,winter,no,cloudy,-0.1,15.56,0,4672.05,6212.95,0,5509.35,0,7.200096326,177.8116305
2024/1/9 01:03,winter,no,sunny,-5.1,15.56,518.73,14853.43,11257.02,16910.81,862.97,394.05,7.200096326,177.8116305
2024/1/9 04:17,winter,no,sunny,-7.3,15.56,518.73,14853.43,11257.02,16910.81,862.97,394.05,7.200096326,177.8116305
2024/1/9 09:34,winter,no,cloudy,-5.7,36.59,0,34466.14,25815.39,37964.88,3012.86,12802.53,7.083684711,181.7346646
2024/1/9 16:48,winter,no,cloudy,-1,15.56,0,4672.05,6212.95,0,5509.35,0,7.200096326,177.8116305
2024/1/9 23:57,winter,no,sunny,-0.7,29.27,646.52,29753.97,28911.23,56986.29,0,18911.23,7.139341546,178.2608007
2024/1/10 01:03,winter,no,cloudy,-6.7,14,0,11694.64,9774.76,11452.61,2235.16,0,7.147355765,180.9575511
2024/1/10 04:17,winter,no,sunny,-5.2,29.27,647.44,29753.97,28911.01,56985.59,0,18911.01,7.139341546,178.2608007
2024/1/10 09:34,winter,no,snowy,-4.7,34.29,0,0,34250,88365,0,24250,7.094390891,181.7901769
2024/1/10 16:48,winter,no,cloudy,-3.3,48,0,17929.05,25225.95,0,15701.99,0,7.053652628,186.2491642
2024/1/10 23:57,winter,no,snowy,-4.9,33.33,0,0,23310,0,0,13310,7.064618332,181.1837777
2024/1/11 01:03,winter,no,sunny,-4.5,24,520.03,23493.19,17197.47,27765.32,835.74,6361.73,7.152290173,177.2606736
2024/1/11 04:17,winter,no,cloudy,-3.7,30,0,29434.68,21544.43,35276.89,914.12,10630.31,7.100980819,180.3568245
2024/1/11 09:34,winter,no,cloudy,-3.8,24,0,24334.93,20119.38,36975.69,0,10119.38,7.152290173,177.2606736
2024/1/11 16:48,winter,no,cloudy,-3.9,15.56,0,8721.63,9598.87,3449.5,4569.53,0,7.200096326,177.8116305
2024/1/11 23:57,winter,no,snowy,-1.4,48,0,0,43155,0,0,33155,7.053652628,186.2491642
2024/1/12 01:03,winter,no,cloudy,-3.8,34.29,0,35070.69,29503,54958.81,0,19503,7.094390891,181.7901769
